,Clase.Original,Clase.LSTM,Certeza.Maxima,pr.intrusion,pr.reparacion,pr.marketing,pr.visitada,pr.sin_realizar,pr.seguridad,pr.ok_equipo,pr.sin_tarea,texto
240,ok_equipo,ok_equipo,"0,9954482913",[2.7943965e-05],[0.0016887473],[0.0016460861],[8.8650806e-05],[1.2046113e-05],[1.630268e-05],[0.9954483],[0.001071911],[' fallido el medidor de se encuentra dentro domicilio se adjunta foto se debe trasladar al medidor puntual y al vecino ya que ambos se encuentran dentro no se puede realizar tarea ']
241,seguridad,seguridad,"0,6699633002",[0.08630228],[0.015250475],[0.08545226],[0.0075056017],[0.1345904],[0.6699633],[0.00075574196],[0.00017991304],[' act por wo cambio de caja izquierda dercaja izquierda der rota']
242,ok_equipo,seguridad,"0,7050034404",[0.008379095],[0.020670803],[0.09908215],[0.15541567],[0.010672573],[0.70500344],[0.00038737984],[0.00038899356],[' se realizo inspeccion completa medidor sin anomalias se reacondicino tapa rectangular grande ']
243,intrusion,seguridad,"0,9316055775",[0.0022762015],[0.007493678],[0.020061804],[0.032470204],[0.005998434],[0.9316056],[4.390884e-05],[5.006796e-05],[' tapa se verifico medidor estado se coloca caja antihurto se normaliza suministro']
244,ok_equipo,visitada,"0,6097500324",[0.0010683921],[0.09987041],[0.1875753],[0.60975003],[0.00021818605],[0.0055005294],[0.09344307],[0.0025740957],[' se verifica habitaculos sin cableado al tablero sin identificacion nadie responde al llamado']
245,reparacion,sin_realizar,"0,9287388325",[0.032287095],[0.00094709854],[0.005383228],[0.0001576913],[0.92873883],[0.032177787],[0.00015741409],[0.00015085546],[' se verifico medidor y acometida se cambio medidor tapa y termica']
246,seguridad,seguridad,"0,8816617131",[0.0011042632],[0.0009665698],[0.014557022],[0.009233596],[0.09199123],[0.8816617],[0.00010189728],[0.00038379498],[' se cambio termica trifasico se coloca pipeta faltantes medidor normal poco huso el predio segun serenose verifica medidor normal se cambio termica quemada y se coloca pipeta lugar en poco huso segun sereno']
247,ok_equipo,visitada,"0,7706398964",[0.0021272032],[0.018190961],[0.16153231],[0.7706399],[0.0029149202],[0.030714694],[0.0049750535],[0.008905028],[' se verifico medidor monofasico sin anomalia']
248,seguridad,ok_equipo,"0,9394341707",[0.0007282964],[0.04185296],[0.015007535],[0.0017128781],[0.0002462255],[0.0005011359],[0.9394342],[0.00051674],[' se verifico medidor numero desconectado en poder del encargado del local quien manifiesta no nesecitarlo no se reconecta medidor por cables de salida y elemento de corte faltante se verifico medidor desconectado en poder del cliente ']
249,ok_equipo,visitada,"0,6835445166",[0.0014941243],[0.03970781],[0.23772384],[0.6835445],[0.00080931396],[0.014921142],[0.013076198],[0.008723132],[' por verificacion completa t bajo tension aerea']
250,,sin_tarea,"0,990852654",[0.00045238817],[0.00043007685],[0.005267801],[0.0005344321],[0.0005899061],[0.000364856],[0.0015078167],[0.99085265],[' se encontro medidor ya normalizado fecha por este mismo agente cliente manifesto que tuvo problemas internos']
251,intrusion,intrusion,"0,9975651503",[0.99756515],[0.0003731171],[0.00047961617],[5.1251004e-06],[0.0014453626],[6.862294e-05],[5.1903946e-05],[1.1142049e-05],[' se verifica medidor trifasico con derivacion clandestina por ende se prosede a retiro y normalizacion del medidor se realizo cambio de cableado de medidor a termica y tapa trifasico dejando normalizado se verifica medidor lindero sin anomalia se cambio tapa']
252,ok_equipo,seguridad,"0,7683964372",[0.00074336556],[0.00066533766],[0.00710663],[0.22193897],[0.0011141996],[0.76839644],[8.849119e-06],[2.6157735e-05],[' se verifico medidor mono sin anomalia sin carga vivienda vacia en venta no se cambio ramal por tablero intero y cañ obstruida cambio de tapa']
253,reparacion,sin_realizar,"0,9075815082",[0.056100003],[0.0016706643],[0.010584678],[0.0004722947],[0.9075815],[0.021737292],[0.0007277826],[0.0011257911],[' se cambio medidor quenado en directo por guardia se coloco caja antihurto rectangular adecuo y sello dejandose normalizado']
254,ok_equipo,marketing,"0,5744541287",[0.012066283],[0.054851413],[0.5744541],[0.02896901],[0.0084205475],[0.006739185],[0.14853057],[0.16596885],[' zona medida']
255,ok_equipo,visitada,"0,8932116628",[0.0012595726],[0.0034585202],[0.07167195],[0.89321166],[0.0010349738],[0.026784226],[0.0005552234],[0.0020238985],[' verifica completa sin anomalia']
256,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
257,seguridad,marketing,"0,4592261016",[0.0111712795],[0.026235852],[0.4592261],[0.3943369],[0.016878162],[0.05681482],[0.0063198595],[0.02901696],[' medidor normal ']
258,intrusion,marketing,"0,5030628443",[0.016258571],[0.29505906],[0.50306284],[0.12705797],[0.0025711681],[0.014184492],[0.023318281],[0.018487649],[' rehabilitado se normaliza suministro']
259,reparacion,seguridad,"0,6549523473",[0.029099846],[0.007966597],[0.09707935],[0.014636076],[0.19466038],[0.65495235],[0.00045364513],[0.0011517567],[' cambio tapa monofasica']
260,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
261,ok_equipo,seguridad,"0,4942033589",[0.077418596],[0.03238837],[0.26613113],[0.046877],[0.080075175],[0.49420336],[0.0018738193],[0.0010325318],[' se realizo verificacion ocultar y realizo verificacion en la linea se cambio tapa']
262,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
263,seguridad,marketing,"0,5046070814",[0.008034976],[0.027742513],[0.5046071],[0.25122187],[0.027330404],[0.1500826],[0.00838963],[0.022590954],[' tapa opaca']
264,seguridad,seguridad,"0,9896523356",[0.00020152624],[0.0005063232],[0.002002447],[0.006528803],[0.00110359],[0.98965234],[2.6964337e-06],[2.2578738e-06],[' se verifico medidor con funcionamiento normal se coloco tapa monofasica cabaña desabitadase coloco tapa monofasica']
265,intrusion,seguridad,"0,6826326251",[0.028431784],[0.0029687167],[0.033369776],[0.005069224],[0.247114],[0.6826326],[0.00012590163],[0.00028803397],[' cambio de caja antihurto termica']
266,intrusion,intrusion,"0,9930268526",[0.99302685],[0.0004373806],[0.0006455389],[2.4462015e-06],[0.0057564685],[8.910777e-05],[2.9974102e-05],[1.2240762e-05],[' medidor manipulado precintos de carcasa cambio por medidor instalacion caja antihurto']
267,intrusion,intrusion,"0,9688155651",[0.96881557],[0.010002604],[0.0067646676],[8.817683e-05],[0.008246865],[0.0059176493],[0.00014628579],[1.8205448e-05],[' se retiro conexion directa habitaculo se cambio tapa caja antihurto']
268,intrusion,visitada,"0,4520428479",[0.0038507625],[0.01323506],[0.20206295],[0.45204285],[0.009804516],[0.3171621],[0.0007128277],[0.0011289706],[' se verifico directa trifasica desde el encadenado entre tomas se verifico medidor normal se cambio ramales de encadenado cargas de directa r s t amperes se retiro directa estados medidor actual ']
269,seguridad,visitada,"0,4040703475",[0.0075636883],[0.018460158],[0.21285526],[0.40407035],[0.022602204],[0.3270115],[0.0017645549],[0.005672234],[' medidor normal tapa']
270,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
271,ok_equipo,seguridad,"0,9242423773",[0.0017390553],[0.0007849304],[0.008673627],[0.004004384],[0.060461268],[0.9242424],[4.0428247e-05],[5.3954194e-05],[' se verifico medidor con calculo de error dando un resultado normal se cambio tapa y termica se realizo verifica completa']
272,intrusion,intrusion,"0,9959134459",[0.99591345],[0.00078345527],[0.0009781481],[4.5378447e-06],[0.0021513596],[0.00013264561],[2.852273e-05],[7.83047e-06],[' se normalizo fase a fase se coloco caja anti hurtocerradura rota']
273,seguridad,seguridad,"0,6549523473",[0.029099846],[0.007966597],[0.09707935],[0.014636076],[0.19466038],[0.65495235],[0.00045364513],[0.0011517567],[' se cambio tapa monofasica']
274,intrusion,intrusion,"0,9967727065",[0.9967727],[0.0005662109],[0.0007415259],[3.4851414e-06],[0.0017625033],[0.00013572548],[1.2667056e-05],[5.096435e-06],[' se encontro fase a fase se normalizo se coloco caja antihurto']
275,seguridad,intrusion,"0,7241696715",[0.7241697],[0.018316643],[0.03914317],[0.002153072],[0.03972702],[0.17608264],[0.00035246354],[5.5255874e-05],[' r sin fraude convencional se instalo caja antihurto se quito peligrose quito peligro']
276,seguridad,marketing,"0,5495383143",[0.015983434],[0.029845392],[0.5495383],[0.31089216],[0.011829456],[0.044871967],[0.009715133],[0.027324159],[' sin anomaliascerradura rota']
277,reparacion,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' at']
278,ok_equipo,ok_equipo,"0,9835548997",[5.841909e-05],[0.013006626],[0.0029209254],[0.00021420253],[1.8526787e-05],[5.7099292e-05],[0.9835549],[0.00016930114],[' medidor interno los unicos que contestan no pueden dar acceso se concurrio en varias ocasiones sin tener acceso']
279,reparacion,marketing,"0,4286306202",[0.09363218],[0.14597563],[0.42863062],[0.0270459],[0.14137514],[0.13113251],[0.017686086],[0.014521996],[' se cambia medidor porque se encontraba bornera quemadacambio de la tapa']
280,seguridad,seguridad,"0,9621960521",[9.2497394e-05],[0.00033758592],[0.0111924475],[0.021780955],[0.0043129358],[0.96219605],[2.1581578e-05],[6.597303e-05],[' se concurrio en direccion de referencia verificando medidor n estado n se realizo prueba de funcionamiento medidor funciona normal se cambio tapa y marco rectangular monofasico y m de cinta conexionado normal medidor lindero estado ']
281,seguridad,marketing,"0,3835805058",[0.09948623],[0.035075214],[0.3835805],[0.37709156],[0.009007873],[0.087773],[0.0016795901],[0.0063059907],[' se realizo inspeccion completa sin fraude']
282,ok_equipo,visitada,"0,7848296762",[0.0040516555],[0.0076143923],[0.1330673],[0.7848297],[0.0030655318],[0.06397553],[0.0006687007],[0.0027272622],[' se realizo inspeccion completa edenor normal']
283,ok_equipo,visitada,"0,5893466473",[0.0072092796],[0.016343402],[0.31702784],[0.58934665],[0.0058337613],[0.048754405],[0.0028950619],[0.012589693],[' se encontro normal']
284,ok_equipo,seguridad,"0,8797022104",[9.5180636e-05],[0.00014292626],[0.0031957533],[0.11593248],[0.00090560585],[0.8797022],[4.3310656e-06],[2.1586377e-05],[' amperes verifica t aereo normal verifica error normal cambio de pipeta sin tapa ']
285,ok_equipo,marketing,"0,7147020102",[0.0156512],[0.036771424],[0.714702],[0.14483665],[0.0070285997],[0.014149521],[0.015394387],[0.051466223],[' sin anomalias']
286,reparacion,sin_realizar,"0,8642857671",[0.06326959],[0.0022110145],[0.03508798],[0.0006179838],[0.86428577],[0.03216069],[0.0005250028],[0.0018420483],[' se cambio medidor por bornera rota']
287,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
288,reparacion,visitada,"0,9562199712",[0.00016959322],[0.002841344],[0.029199865],[0.95622],[0.00010382708],[0.009705411],[0.001346459],[0.00041341764],[' r convencional sin fraude verificacion completa ala cual se encontro medidor normal cliente no esta consumiendo por cierre de su local']
289,intrusion,intrusion,"0,9502937794",[0.9502938],[0.0002536198],[0.000575344],[3.855912e-06],[0.04836594],[0.00045533993],[3.5808087e-05],[1.624634e-05],[' realiza cambio de medidor coloca caja antihurto y termica retira fraude fase a fasecoloco caja antihurto']
290,ok_equipo,visitada,"0,529938519",[0.0046281805],[0.009009547],[0.33575585],[0.5299385],[0.010176437],[0.046563473],[0.0039733257],[0.059954684],[' se realizo verificacion y se lo encontro normal medidor colocado en marzo ']
291,seguridad,seguridad,"0,9688823819",[0.00027983557],[0.00025899918],[0.003019692],[0.02583162],[0.001716279],[0.9688824],[3.025083e-06],[8.267944e-06],[' medidor normal se acometida y neutro normal se cambio tapa ']
292,reparacion,seguridad,"0,8660437465",[0.0029191133],[0.00022669765],[0.014097807],[0.0127446195],[0.103697844],[0.86604375],[2.6903032e-05],[0.00024327556],[' se realizo verificacion completa funcionamiento normal se cambio medidor por obsoleto fotos']
293,ok_equipo,seguridad,"0,5171183348",[0.012462863],[0.018424153],[0.07199988],[0.37835857],[0.0011938006],[0.51711833],[0.00010016056],[0.00034218095],[' suministro sin anomalia se repuso caja antihurto se sella habitaculo dejando bornera precintada y todo normalizado']
294,ok_equipo,seguridad,"0,9395789504",[0.00024050304],[0.0006724037],[0.015762042],[0.039679196],[0.00400329],[0.93957895],[1.6854623e-05],[4.6774974e-05],[' se verifico medidor se encontro normal se realizo pruebas del error en sitio se coloco tapa y marco monofasico']
295,ok_equipo,marketing,"0,4367186427",[0.008086472],[0.09339081],[0.43671864],[0.009643806],[0.0030033055],[0.0023797469],[0.41398165],[0.032795556],[' se cierra desde base imposibilidad de ingresar']
296,seguridad,seguridad,"0,944447875",[0.0006246823],[0.00385487],[0.017242653],[0.028353343],[0.0053520286],[0.9444479],[7.658151e-05],[4.795645e-05],[' se coloco tapa rectangular chica i adecuado recinto']
297,seguridad,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' se termino ']
298,ok_equipo,reparacion,"0,8991713524",[0.0006567311],[0.89917135],[0.02137186],[0.060068537],[2.590601e-05],[0.0013791014],[0.0171417],[0.00018477265],[' se verifico circuito se ve sistema c sistema funciona correctamente todo medido ']
299,ok_equipo,visitada,"0,9709553719",[0.00013891165],[0.0008888332],[0.012918826],[0.9709554],[0.00017107769],[0.014365015],[0.00015452884],[0.0004074326],[' se verifico medidor normal sin anomalia']
300,seguridad,reparacion,"0,9894251823",[0.0010509584],[0.9894252],[0.0015207289],[0.0004129404],[2.2487147e-05],[0.00021777891],[0.007326332],[2.3539935e-05],[' se rehabilito cuenta ina con medidor existente se coloco tapa monofasico y termica se colocotapa monofasica']
301,intrusion,marketing,"0,593075335",[0.042071633],[0.041902706],[0.59307534],[0.10447198],[0.046211805],[0.14728588],[0.007013833],[0.017966885],[' caja monoposte']
302,marketing,reparacion,"0,9959189296",[0.00030848317],[0.9959189],[0.0007035472],[0.00025885215],[2.688609e-06],[5.065781e-05],[0.0027497008],[7.0992514e-06],[' se observa suministro a terceros desde medidor de obra n a gabinete colectivo de unidades monofasicos se entrega nota de intimacion ']
303,ok_equipo,seguridad,"0,8290725946",[0.0016157399],[0.011972171],[0.07356498],[0.067167066],[0.015746396],[0.8290726],[0.00052707124],[0.00033397207],[' se coloco tapa chica se fijo medidor']
304,reparacion,sin_realizar,"0,990041554",[0.003215859],[0.0001366497],[0.0009505621],[0.00010160068],[0.99004155],[0.00513169],[0.0001659431],[0.0002561432],[' se cambio medidor por error mayor al admisible y se instalo caja antihurto por habitaculo de chapa se realizo verificacion completahabitaculo chapa']
305,seguridad,ok_equipo,"0,5309750438",[0.08166927],[0.056612037],[0.113864735],[0.0018151656],[0.1923564],[0.015807787],[0.53097504],[0.00689956],[' observacion svpse concurrio en direccion de referencia a rehabilitar medidor monofasico n se verifico el mismo quemado en bornera se coloco medidor monofasico nuevo n rehabilitado de bornera ']
306,reparacion,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' at']
307,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude']
308,ok_equipo,intrusion,"0,6296029091",[0.6296029],[0.13687071],[0.14273483],[0.0075708213],[0.0030525324],[0.07874057],[0.0012131892],[0.00021441995],[' se desarmo tapa medicion en habitaculo linea cambio de morceto tapa cliente normal se retira dos directo de vecinos']
309,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal svp ']
310,intrusion,intrusion,"0,5277865529",[0.52778655],[0.03084029],[0.35507056],[0.005842084],[0.0479475],[0.016591148],[0.0025201233],[0.013401727],[' fase por fase']
311,ok_equipo,visitada,"0,7987149954",[0.0011555736],[0.071977265],[0.10584348],[0.798715],[0.00021329167],[0.010056669],[0.01088664],[0.0011520678],[' se verifico el medidor desde encontraba sin anomalia gabinete multiple']
312,seguridad,intrusion,"0,7241696715",[0.7241697],[0.018316643],[0.03914317],[0.002153072],[0.03972702],[0.17608264],[0.00035246354],[5.5255874e-05],[' san miguel r sin fraude convencional se instalo caja antihurto se quito peligrose quito peligro']
313,intrusion,intrusion,"0,9587575793",[0.9587576],[0.0013161962],[0.002722899],[1.5069863e-05],[0.036451012],[0.0003391546],[0.00022300243],[0.00017505597],[' se realizo inspeccion completa de medidor monofasico se cambio medidor con precintos de carcasa faltantes se coloco caja trampa y termica de a se dejo normalizado ']
314,intrusion,sin_realizar,"0,7810140848",[0.17033027],[0.0011306766],[0.0062600737],[0.00026587836],[0.7810141],[0.040370844],[0.0002182551],[0.00040987667],[' se encontro derivacion clandes habitaculo medidor se realizo prueba de error medidor sin anomalias se cambio tapa rectangular monofasico cambio termica amperes confecciona acta fraude']
315,reparacion,intrusion,"0,3114491701",[0.31144917],[0.07821991],[0.22837593],[0.012014328],[0.11660828],[0.24963462],[0.0026155799],[0.0010822683],[' se coloca monoposte y se cambia acometida deteriorada']
316,reparacion,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' at']
317,intrusion,intrusion,"0,9987154007",[0.9987154],[0.00019733308],[0.00022040942],[1.025699e-06],[0.00081173424],[2.194985e-05],[2.745857e-05],[4.6967693e-06],[' r fraude convencional se retira conexion clandestina fase a fase s se retira conexion trifasica directa de termica adentro del local se coloco tapa se quito peligro cliente ostil ofrece dinero a cambio de no notificarse quito peligro']
318,seguridad,marketing,"0,4740087092",[0.004831839],[0.092061415],[0.4740087],[0.28798443],[0.0038459057],[0.020537587],[0.080132894],[0.036597207],[' solo colocacion de mirillas movil ayudante paz victor']
319,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
320,ok_equipo,visitada,"0,4540420175",[0.0040303054],[0.011216605],[0.23224008],[0.45404202],[0.011943644],[0.28234044],[0.0011627909],[0.0030241217],[' marco y tapa verificacion t completa']
321,reparacion,sin_realizar,"0,9018840194",[0.017180404],[0.00054963696],[0.03338452],[0.0010102303],[0.901884],[0.040414453],[0.0004193836],[0.0051574265],[' se cambio medidor quemado ']
322,reparacion,marketing,"0,5200765133",[0.004514852],[0.03407787],[0.5200765],[0.35078317],[0.007688208],[0.028414588],[0.028910516],[0.02553434],[' carga amperes se realizo comparacion con carga propia prueba de arranque y vacio se acondiciono habitaculo es una casa en edificacion con reforma']
323,intrusion,marketing,"0,600851357",[0.10550369],[0.07599501],[0.60085136],[0.07108821],[0.03587844],[0.09082951],[0.0076001463],[0.012253708],[' falta tapa']
324,seguridad,seguridad,"0,8185077906",[0.0006488172],[0.0006002353],[0.0109236725],[0.16338436],[0.0057786717],[0.8185078],[3.3206277e-05],[0.00012329478],[' se verifico medidor y conexionado sin anomalia se cambio tapa ']
325,intrusion,intrusion,"0,9438179731",[0.943818],[0.0019450731],[0.0048625856],[2.8913411e-05],[0.048368957],[0.0005499246],[0.0002536827],[0.00017294165],[' se cambio medidor puente de excitacion caido y tapa de medidor sin precinto']
326,ok_equipo,seguridad,"0,7812260985",[0.00068642123],[0.00065293274],[0.016776977],[0.19439955],[0.0060353847],[0.7812261],[4.0671377e-05],[0.00018199977],[' se verifico medidor sin anomalia se cambio marco y tapa']
327,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
328,ok_equipo,visitada,"0,7563993931",[0.0018424432],[0.011059558],[0.15451871],[0.7563994],[0.0038140502],[0.044939026],[0.0051484155],[0.02227831],[' se verifico medidor n estado se observo normal ']
329,intrusion,reparacion,"0,9769878387",[0.00025805554],[0.97698784],[0.0021576004],[0.00033606382],[4.790606e-06],[5.9285452e-05],[0.020174569],[2.1870343e-05],[' error de datos comerciales titular fayesido se cambia titularidad se rehabilito suministro']
330,ok_equipo,marketing,"0,7178081274",[0.010401047],[0.031307533],[0.7178081],[0.14308612],[0.010322182],[0.018722188],[0.016610106],[0.051742695],[' verificacion t ']
331,ok_equipo,seguridad,"0,8497498631",[0.012686685],[0.0041319076],[0.042718437],[0.023881307],[0.06644904],[0.84974986],[0.00013705446],[0.00024563295],[' verificacion completa de medidor n estado sin anomalias se cambio tapa y termica']
332,intrusion,intrusion,"0,5650185943",[0.5650186],[0.06271784],[0.064973824],[0.0027776319],[0.082598425],[0.220357],[0.0013943826],[0.00016225061],[' se encontro conexion clandestino en habitaculo se traslada medidor a pilar se coloca tapa ciega y termica se normaliza']
333,reparacion,seguridad,"0,5848045349",[0.018940985],[0.040867984],[0.21787159],[0.09827963],[0.036028683],[0.58480453],[0.0013546938],[0.0018519673],[' se coloco tapa trifasica']
334,reparacion,sin_realizar,"0,4720802307",[0.029524943],[0.017720347],[0.15036702],[0.017781163],[0.47208023],[0.30666405],[0.0014360094],[0.004426208],[' se cambia medidor golpeado verificacion da correcta se cambia tapa']
335,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
336,reparacion,sin_realizar,"0,7758560181",[0.038900588],[0.011115585],[0.03575243],[0.0016033323],[0.775856],[0.13459955],[0.0016864392],[0.00048602602],[' se cambio medidor trifasico desp ni se cambio tapa por falta mate en sector']
337,intrusion,marketing,"0,6649525166",[0.14627886],[0.035862613],[0.6649525],[0.037767738],[0.03416867],[0.027416136],[0.0076087695],[0.045944687],[' fraude svp ']
338,ok_equipo,marketing,"0,7147020102",[0.0156512],[0.036771424],[0.714702],[0.14483665],[0.0070285997],[0.014149521],[0.015394387],[0.051466223],[' sin anomalias']
339,ok_equipo,seguridad,"0,5098100901",[0.0049592094],[0.010711453],[0.19154617],[0.20887892],[0.06829525],[0.5098101],[0.0014428489],[0.0043560625],[' se realizo verificacion completa con contraste pruebas de arranque y vacio se aplico carga propia se tomo cargas y tensiones medidor funcionando dentro de los valores admisibles ']
340,seguridad,marketing,"0,6755769253",[0.046698056],[0.057482235],[0.6755769],[0.08694794],[0.034147974],[0.052363895],[0.01320645],[0.03357649],[' cerradura rota']
341,intrusion,marketing,"0,5187514424",[0.3339905],[0.057409104],[0.51875144],[0.0130944755],[0.030508164],[0.013044295],[0.016838081],[0.016363908],[' act por wo b con fraude convencional se adecuo muñoz ']
342,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
343,intrusion,intrusion,"0,9860721827",[0.9860722],[0.009052599],[0.00371852],[2.2137641e-05],[0.00062262797],[0.00021491772],[0.00027884444],[1.808861e-05],[' se retiro conexion clandestina se normaliza suministro se normaliza svpse cambia tapa y marco trifasico']
344,ok_equipo,marketing,"0,7325795293",[0.02579056],[0.05402389],[0.7325795],[0.086065665],[0.009806962],[0.011502907],[0.016462412],[0.06376812],[' si anomalias al momento de la inspeccion']
345,ok_equipo,seguridad,"0,875089705",[0.014548439],[0.011031092],[0.030796556],[0.0392631],[0.028877625],[0.8750897],[0.0002826435],[0.00011085191],[' se verifico medidor trifasico con termica cortada se normalizo sin anomalia se cambio tapa']
346,marketing,visitada,"0,6430351138",[0.0006676525],[0.0044503314],[0.039338812],[0.6430351],[0.0005347096],[0.31149656],[0.00023096944],[0.00024580155],[' se encuentra medidor se realiza verificacion completa medidor normal se coloca tapa y se sondea acometida vecino comenta que la titular nunca esta en la viviendatapa del habitaculo']
347,intrusion,intrusion,"0,998513639",[0.99851364],[0.00042788326],[0.00045344667],[2.081182e-06],[0.00052223756],[2.3367995e-05],[5.020679e-05],[7.1598547e-06],[' se retiro puente fase a fase en bornera se realizo verificacion completa se ajustaron conexiones se cambio tapa se adjuntan fotos ']
348,reparacion,marketing,"0,2957527936",[0.18705234],[0.192709],[0.2957528],[0.004761099],[0.23973386],[0.028553009],[0.030347388],[0.021090593],[' se verifica medidor trifasico con numeror averiado se cambia medidor tapa y dejando cliente normalizado ']
349,reparacion,sin_realizar,"0,971344769",[0.024258787],[0.000112735346],[0.0016880818],[2.4351775e-05],[0.97134477],[0.002120735],[7.6485245e-05],[0.0003740033],[' se verifico medidor numero y se encontro con el mayor error admisible se cambio por el y se normalizo']
350,seguridad,visitada,"0,9174900651",[0.00033948768],[0.0012426289],[0.034778856],[0.91749007],[0.0014291868],[0.04284595],[0.00047975712],[0.0013940488],[' prueba con carga propia normal arranque y vacio normal medidor mal fijafo']
351,ok_equipo,visitada,"0,5470853448",[0.006557477],[0.017582038],[0.35434037],[0.54708534],[0.0070899623],[0.048434015],[0.0039982223],[0.014912628],[' normal']
352,seguridad,marketing,"0,4063429534",[0.07744024],[0.013916297],[0.40634295],[0.033398356],[0.2640109],[0.18165508],[0.0033239773],[0.019912181],[' cambio de tapacerradura rota']
353,seguridad,marketing,"0,6755769253",[0.046698056],[0.057482235],[0.6755769],[0.08694794],[0.034147974],[0.052363895],[0.01320645],[0.03357649],[' cerradura rota']
354,seguridad,marketing,"0,7148416042",[0.031755786],[0.1024363],[0.7148416],[0.059286986],[0.0074095977],[0.007025714],[0.027723115],[0.049520954],[' medidor sin anomalias medidor sin anomalias']
355,seguridad,seguridad,"0,4154419005",[0.051826205],[0.029667027],[0.31426713],[0.13050708],[0.054426238],[0.4154419],[0.0011712892],[0.002693115],[' se adecuo habitaculo acometida deficiente']
356,seguridad,marketing,"0,5859022737",[0.007705654],[0.044021595],[0.5859023],[0.26014066],[0.015814632],[0.063447215],[0.007300442],[0.015667476],[' se encontro el medidor numero con una carga de amperes codigo baremo o o o ']
357,intrusion,intrusion,"0,9586096406",[0.95860964],[0.011742626],[0.019166797],[8.842612e-05],[0.0077564265],[0.00034540155],[0.0018109744],[0.00047974128],[' se verifica medidor con fase a fase tiene carga y normaliza se demora por la custodia']
358,seguridad,marketing,"0,5768520832",[0.038216326],[0.053269513],[0.5768521],[0.108693585],[0.04278327],[0.15713292],[0.006082536],[0.016969778],[' tapa suelta']
359,ok_equipo,ok_equipo,"0,8373243213",[0.0011181221],[0.12946245],[0.030619318],[0.0008556608],[6.815745e-05],[0.00014975398],[0.8373243],[0.00040219552],[' vivienda al fondo se toco timbre se llamo a celular cliente ausente directo de habitaculo volver a pasar ']
360,intrusion,marketing,"0,396173805",[0.36137336],[0.02168238],[0.3961738],[0.0034155932],[0.10268561],[0.0077855205],[0.005457535],[0.10142607],[' directo de bornera normalizado']
361,ok_equipo,visitada,"0,964948833",[0.00013932309],[0.0014125614],[0.02641609],[0.96494883],[0.00010379545],[0.0055757016],[0.0007419621],[0.0006617793],[' actxsot actxsot verificacion completa t sin anomalia una sola acometida compartida con medidores linderos ']
362,ok_equipo,seguridad,"0,7760754228",[0.006353857],[0.0026130907],[0.040611163],[0.009073033],[0.16465032],[0.7760754],[0.00018870964],[0.00043436157],[' se cambio tapa trifasica rota']
363,reparacion,sin_realizar,"0,9852184653",[0.008880053],[0.00018224822],[0.0012122022],[8.608804e-05],[0.98521847],[0.0038657892],[0.00021937904],[0.00033583416],[' se realizo inspeccion completa de medidor monofasico se cambio medidor monofasico obsoleto y termica de a no se cambio marco tapa por falta de stock ']
