clase_original,texto_original,texto_etl,texto_corregido,id_clase
reparacion,Se cambio medidor quenado en directo por guardia.se coloco caja antihurto recta adecuo y sello dejandose normalizado,cambio medidor quenado directo guardia coloco caja antihurto rectangular adecuo sello dejandose normalizado, se cambio medidor quenado en directo por guardia se coloco caja antihurto rectangular adecuo y sello dejandose normalizado,1
ok_equipo,Zona medida,zona medida, zona medida,6
ok_equipo,Verif completa sin anomalía,verifico completa sin anomalia, verifica completa sin anomalia,6
intrusion,FRAUDE,fraude, fraude,0
seguridad,MEDIDOR NORMAL.,medidor normal, medidor normal ,5
intrusion,Rehabilitado se normaliza suministro,rehabilitado normalizo suministro, rehabilitado se normaliza suministro,0
reparacion,Cambio tapa monofásica,cambio tapa monofasica, cambio tapa monofasica,1
intrusion,Fraude,fraude, fraude,0
ok_equipo,Se realizó verificación ocultar y realizó verificación en la línea. Se cambio tapa,realizo verificacion ocultar realizo verificacion linea cambio tapa, se realizo verificacion ocultar y realizo verificacion en la linea se cambio tapa,6
intrusion,FRAUDE,fraude, fraude,0
seguridad,Tapa opaca,tapa opaca, tapa opaca,5
seguridad,Se verifico medidor con funcionamiento normal.se colocó tapa monofasica.cabaña desabitadaSe colocó tapa monofasica,verifico medidor con funcionamiento normal coloco tapa monofasica cabaña desabitadase coloco tapa monofasica, se verifico medidor con funcionamiento normal se coloco tapa monofasica cabaña desabitadase coloco tapa monofasica,5
intrusion,Cambio de caja antihurto termica,cambio caja antihurto termica, cambio de caja antihurto termica,0
intrusion,"Medidor manipulado ( precintos de carcasa) 
Cambio por medidor 17381692
Instalación caja antihurto",medidor manipulado precinto carcasa cambio medidor instalacion caja antihurto, medidor manipulado precintos de carcasa cambio por medidor instalacion caja antihurto,0
intrusion,Se retiró conexión directa habitáculo  se cambio tapa caja antihurto,retiro conexion directo habitaculo cambio tapa caja antihurto, se retiro conexion directa habitaculo se cambio tapa caja antihurto,0
intrusion,"Se verificó directa trifásica desde el encadenado entre tomas, se verifico medidor normal, se cambio ramales de encadenado, cargas de directa R:10,6 S:10.0 T:0.1Amp se retiró directa  estados medidor actual 1: 1180 2: 26",verifico directo trifasica desde encadenado verifico medidor normal cambio ramales encadenado carga directo amperes retiro directo estados medidor actual, se verifico directa trifasica desde el encadenado entre tomas se verifico medidor normal se cambio ramales de encadenado cargas de directa r s t amperes se retiro directa estados medidor actual ,0
seguridad,Med normal.Tapa,medidor normal tapa, medidor normal tapa,5
intrusion,FRAUDE,fraude, fraude,0
ok_equipo,Se verificó medidor con cálculo de error dando un resultado normal se cambió tapa y térmica se realizó verif completa,verifico medidor con calculo error dando resultado normal cambio tapa termica realizo verifico completa, se verifico medidor con calculo de error dando un resultado normal se cambio tapa y termica se realizo verifica completa,6
intrusion,Se normalizó face a face se colocó caja anti-hurtoCerradura rota,normalizo fase fase coloco caja anti hurtocerradura rota, se normalizo fase a fase se coloco caja anti hurtocerradura rota,0
seguridad,Se cambio tapa monofasica,cambio tapa monofasica, se cambio tapa monofasica,5
intrusion,"Se encontró fase a fase, se normalizo, se coloco caja antihurto",encontro fase fase normalizo coloco caja antihurto, se encontro fase a fase se normalizo se coloco caja antihurto,0
seguridad,R. SIN FRAUDE CONVENCIONAL SE INSTALO CAJA ANTIHURTO SE QUITO PELIGROSe quito peligro,sin fraude convencional instalo caja antihurto quito peligrose quito peligro, r sin fraude convencional se instalo caja antihurto se quito peligrose quito peligro,5
seguridad,Sin anomalíasCerradura rota,sin anomaliascerradura rota, sin anomaliascerradura rota,5
reparacion,AT,cambio medidor, at,1
ok_equipo,"Medidor interno, los únicos 2 que contestan no pueden dar acceso. Se concurrió en varias ocasiones sin tener acceso",medidor interno unicos contestan no pueden dar acceso concurrio varias ocasiones sin tener acceso, medidor interno los unicos que contestan no pueden dar acceso se concurrio en varias ocasiones sin tener acceso,6
reparacion,Se cambia medidor porque se encontraba bornera quemadaCambio de la tapa,cambio medidor encontraba bornera quemadacambio tapa, se cambia medidor porque se encontraba bornera quemadacambio de la tapa,1
seguridad,"Se concurrió en dirección de referencia verificando medidor n°10115564, estado n°52266, se realizó prueba de funcionamiento, medidor funciona normal. Se cambio tapa y Marco rect monof y 1m de cinta. Conexionado normal.// Medidor lindero: 2605970; Estado:",concurrio direccion referencia verificando medidor estado realizo prueba funcionamiento medidor funciona normal cambio tapa marco rectangular monofasico cinta conexionado normal medidor lindero estado, se concurrio en direccion de referencia verificando medidor n estado n se realizo prueba de funcionamiento medidor funciona normal se cambio tapa y marco rectangular monofasico y m de cinta conexionado normal medidor lindero estado ,5
seguridad,Se realizó inspección completa. Sin fraude,realizo inspeccion completa sin fraude, se realizo inspeccion completa sin fraude,5
ok_equipo,Se realizó inspección completa edenor normal,realizo inspeccion completa normal, se realizo inspeccion completa edenor normal,6
ok_equipo,Se encontró normal,encontro normal, se encontro normal,6
ok_equipo,1.1 amp.  Verif t1 aéreo normal.  Verif error normal.  Cambio de pipeta.  Sin tapa.,amperes verifico aereo normal verifico error normal cambio pipeta sin tapa, amperes verifica t aereo normal verifica error normal cambio de pipeta sin tapa ,6
ok_equipo,Sin anomalías,sin anomalia, sin anomalias,6
reparacion,Se cambio med por bornera rota,cambio medidor bornera rota, se cambio medidor por bornera rota,1
ok_equipo,NORMAL,normal, normal,6
reparacion,R.CONVENCIONAL.SIN FRAUDE VERIFICACIÓN COMPLETA ALA CUAL SE ENCONTRO MEDIOR NORMAL CLIENTE NO ESTA CONSUMIENDO POR CIERRE DE SU LOCAL,convencional sin fraude verificacion completa ala encontro medidor normal cliente no esta consumiendo cierre local, r convencional sin fraude verificacion completa ala cual se encontro medidor normal cliente no esta consumiendo por cierre de su local,1
intrusion,Realiza cambio de medidor coloca caja antihurto y termica. Retira fraude fase a faseColocó caja antihurto,realizo cambio medidor coloca caja antihurto termica retira fraude fase fasecoloco caja antihurto, realiza cambio de medidor coloca caja antihurto y termica retira fraude fase a fasecoloco caja antihurto,0
ok_equipo,Se realizo verificacion y se lo encontro normal (med colocado en Marzo),realizo verificacion encontro normal medidor colocado, se realizo verificacion y se lo encontro normal medidor colocado en marzo ,6
seguridad,"MEDIDOR NORMAL, SE ACOMETIDA Y NEUTRO NORMAL SE CAMBIO TAPA.",medidor normal acometida neutro normal cambio tapa, medidor normal se acometida y neutro normal se cambio tapa ,5
reparacion,"Se realizó verificación completa.  Funcionamiento normal.  Se cambio medidor por obsoleto.  
Fotos",realizo verificacion completa funcionamiento normal cambio medidor obsoleto foto, se realizo verificacion completa funcionamiento normal se cambio medidor por obsoleto fotos,1
ok_equipo,"Suministro sin anomalía 
Se repuso caja antihurto 
Se sella habitáculo dejando bornera precintada y todo normalizado",suministro sin anomalia repuso caja antihurto sella habitaculo dejando bornera precintada normalizado, suministro sin anomalia se repuso caja antihurto se sella habitaculo dejando bornera precintada y todo normalizado,6
ok_equipo,Se verificó medidor se encontró normal se realizó pruebas del error insitu se colocó tapa y marco monofasico,verifico medidor encontro normal realizo pruebas error sitio coloco tapa marco monofasico, se verifico medidor se encontro normal se realizo pruebas del error en sitio se coloco tapa y marco monofasico,6
ok_equipo,SE CIERRA DESDE BASE - IMPOSIBILIDAD DE INGRESAR,cierra desde base imposibilidad ingresar, se cierra desde base imposibilidad de ingresar,6
seguridad,Se colocó tapa rectangular chica i adecuado recinto,coloco tapa rectangular chica adecuado recinto, se coloco tapa rectangular chica i adecuado recinto,5
seguridad,"se termino 14,12",termino, se termino ,5
ok_equipo,Se verifico circuito. Se ve sistema c sistema. Funciona correctamente. Todo medido.,verifico circuito sin determinar sistema sistema funciona correctamente medido, se verifico circuito se ve sistema c sistema funciona correctamente todo medido ,6
ok_equipo,Se verifico medidor normal sin anomalia,verifico medidor normal sin anomalia, se verifico medidor normal sin anomalia,6
seguridad,se rehabilito cuenta ina con medidor existente.se colocó tapa monofasico y térmica 63se colocótapa monofasica,rehabilito cuenta ina con medidor existente coloco tapa monofasico termica colocotapa monofasica, se rehabilito cuenta ina con medidor existente se coloco tapa monofasico y termica se colocotapa monofasica,5
intrusion,Caja monoposte,caja monoposte, caja monoposte,0
marketing,Se observa suministro a terceros desde medidor de obra N:543-3484074 a gabinete colectivo de 20 unidades monofasicos . Se entrega nota de intimación.,observa suministro tercero desde medidor obra gabinete colectivo unidades monofasicos entrega nota intimacion, se observa suministro a terceros desde medidor de obra n a gabinete colectivo de unidades monofasicos se entrega nota de intimacion ,2
ok_equipo,Se colocó tapa chica se fijó medidor,coloco tapa chica fijo medidor, se coloco tapa chica se fijo medidor,6
reparacion,Se cambió medidor por error mayor al admisible y se instaló caja antihurto por habitáculo de chapa . Se realizó verificación completaHabitáculo chapa,cambio medidor error mayor admisible instalo caja antihurto habitaculo chapa realizo verificacion completahabitaculo chapa, se cambio medidor por error mayor al admisible y se instalo caja antihurto por habitaculo de chapa se realizo verificacion completahabitaculo chapa,1
seguridad,"Observ svpSe concurrió en dirección de referencia a rehabilitar medidor monofásico n 1292748, se verificó el mismo quemado en bornera, se colocó medidor monofásico nuevo n 17479848, rehabilitado de bornera.",observacion svpse concurrio direccion referencia rehabilitar medidor monofasico verifico mismo quemado bornera coloco medidor monofasico nuevo rehabilitado bornera, observacion svpse concurrio en direccion de referencia a rehabilitar medidor monofasico n se verifico el mismo quemado en bornera se coloco medidor monofasico nuevo n rehabilitado de bornera ,5
reparacion,AT,cambio medidor, at,1
intrusion,FRAUDE,fraude, fraude,0
ok_equipo,Se desarmo tapa medicion en avitaculo Linia cambio de morseto tapa cliente normal se retira dos directo de vecinos,desarmo tapa medicion habitaculo linea cambio morceto tapa cliente normal retira dos directo vecino, se desarmo tapa medicion en habitaculo linea cambio de morceto tapa cliente normal se retira dos directo de vecinos,6
ok_equipo,"NORMAL
SVP
17301512",normal seguridad via publica, normal svp ,6
intrusion,Fase por fase,fase fase, fase por fase,0
ok_equipo,Se verificó el medidor 72448558 desde encontraba sin anomalía gabinete múltiple,verifico medidor desde encontraba sin anomalia gabinete multiple, se verifico el medidor desde encontraba sin anomalia gabinete multiple,6
seguridad,SAN MIGUEL.R. SIN FRAUDE CONVENCIONAL SE INSTALO CAJA ANTIHURTO SE QUITO PELIGROSe quito peligro,sin anomalias sin fraude convencional instalo caja antihurto quito peligrose quito peligro, san miguel r sin fraude convencional se instalo caja antihurto se quito peligrose quito peligro,5
intrusion,"Se  realizo inspeccion completa de medidor monofasico,  se cambió medidor con precintos de carcasa faltantes.  Se colocó caja trampa y termica de 63a. 
Se dejó normalizado.",realizo inspeccion completa medidor monofasico cambio medidor con precinto carcasa faltantes coloco caja trampa termica dejo normalizado, se realizo inspeccion completa de medidor monofasico se cambio medidor con precintos de carcasa faltantes se coloco caja trampa y termica de a se dejo normalizado ,0
intrusion,"Se encontró deriv clandes habitáculo medidor
Se realizó prueba de error medidor ok
Se cambió tapa rect monof 
Cambio térmica 63 amp
Conf acta fraude",encontro derivacion clandes habitaculo medidor realizo prueba error medidor sin anomalia cambio tapa rectangular monofasico cambio termica amperes confecciona acta fraude, se encontro derivacion clandes habitaculo medidor se realizo prueba de error medidor sin anomalias se cambio tapa rectangular monofasico cambio termica amperes confecciona acta fraude,0
reparacion,Se coloca monoposte y se cambia acometida deteriorada,coloca monoposte cambio acometida deteriorada, se coloca monoposte y se cambia acometida deteriorada,1
reparacion,AT,cambio medidor, at,1
intrusion,R.fraude convencional se retira conexión clandestina fase a fase S se retira conexión trifasica directa de termica adentro del local se coloco tapa se quito peligro  cliente ostil ofrece dinero a cambio de no notificarSe quito peligro,fraude convencional retira conexion clandestina fase fase retira conexion trifasica directo termica adentro local coloco tapa quito peligro cliente ostil ofrece dinero cambio no notificarse quito peligro, r fraude convencional se retira conexion clandestina fase a fase s se retira conexion trifasica directa de termica adentro del local se coloco tapa se quito peligro cliente ostil ofrece dinero a cambio de no notificarse quito peligro,0
seguridad,"Solo colocación de mirillas 
movil:603 
ayudante:514465 Paz Víctor",solo colocacion mirillas paz, solo colocacion de mirillas movil ayudante paz victor,5
ok_equipo,Normal,normal, normal,6
ok_equipo,Marco y tapa  verificacion t1 completa,marco tapa verificacion completa, marco y tapa verificacion t completa,6
reparacion,Se cambio medidor quemado.,cambio medidor quemado, se cambio medidor quemado ,1
reparacion,Carga 7 amp sé realizo comparación con carga propia prueba de arranque y vacío se acondiciono habitáculo es una casa en edificación con reforma,carga amperes realizo comparacion con carga propia prueba arranque vacio acondiciono habitaculo casa edificacion con reforma, carga amperes se realizo comparacion con carga propia prueba de arranque y vacio se acondiciono habitaculo es una casa en edificacion con reforma,1
intrusion,Falta tapa,falta tapa, falta tapa,0
seguridad,Se verifico medidor y conexionado sin anomalia. Se cambio tapa.,verifico medidor conexionado sin anomalia cambio tapa, se verifico medidor y conexionado sin anomalia se cambio tapa ,5
intrusion,Se cambio medidor puente de exitacion caido y tapa de medidor sin precinto,cambio medidor puente excitacion caido tapa medidor sin precinto, se cambio medidor puente de excitacion caido y tapa de medidor sin precinto,0
ok_equipo,Se verifico medidor sin anomalía se cambio marco y tapa,verifico medidor sin anomalia cambio marco tapa, se verifico medidor sin anomalia se cambio marco y tapa,6
ok_equipo,Normal,normal, normal,6
ok_equipo,Se verificó medidor n 1122299 estado 42319. Se observó normal.,verifico medidor estado observo normal, se verifico medidor n estado se observo normal ,6
intrusion,Error de datos comerciales titular fayesido se cambia titularidad se rehabilitó suministro,error datos comerciales titular fayesido cambio titularidad rehabilito suministro, error de datos comerciales titular fayesido se cambia titularidad se rehabilito suministro,0
ok_equipo,Verificación t1,verificacion, verificacion t ,6
ok_equipo,Verificación completa de medidor n 10222487 estado 46158 sin anomalías. Se cambió tapa y termica,verificacion completa medidor estado sin anomalia cambio tapa termica, verificacion completa de medidor n estado sin anomalias se cambio tapa y termica,6
intrusion,Se encontró conexión clandestino en abitaculo se traslada med a pilar se coloca tapa ciega y térmica se normalisa,encontro conexion clandestina habitaculo traslada medidor pilar coloca tapa ciega termica normalizo, se encontro conexion clandestino en habitaculo se traslada medidor a pilar se coloca tapa ciega y termica se normaliza,0
reparacion,Se colocó tapa trifasica,coloco tapa trifasica, se coloco tapa trifasica,1
reparacion,"Se cambia medidor golpeado, verificación da correcta. Se cambia tapa",cambio medidor golpeado verificacion da correcta cambio tapa, se cambia medidor golpeado verificacion da correcta se cambia tapa,1
ok_equipo,Normal,normal, normal,6
reparacion,Se camb med trif desp ni se camb tapa por falta mate en sector,cambio medidor trifasico desp ni cambio tapa falta mate sector, se cambio medidor trifasico desp ni se cambio tapa por falta mate en sector,1
intrusion,"FRAUDE
SVP:
654409
3752791
3752803
3752800",fraude seguridad via publica, fraude svp ,0
ok_equipo,Sin anomalías,sin anomalia, sin anomalias,6
ok_equipo,"Se realizó verificación completa con contraste. Pruebas de arranque y vacío. Se aplico carga propia, se tomó cargas y tensiones. Medidor funcionando dentro de los valores admisibles.",realizo verificacion completa con contraste pruebas arranque vacio aplico carga propia tomo carga tensiones medidor funcionando dentro valores admisibles, se realizo verificacion completa con contraste pruebas de arranque y vacio se aplico carga propia se tomo cargas y tensiones medidor funcionando dentro de los valores admisibles ,6
seguridad,Cerradura rota,cerradura rota, cerradura rota,5
intrusion,"-ACT x WO482435
B.con fraude convencional 
Se adecuó 
Muñoz 
53
14113",act wo con fraude convencional adecuo, act por wo b con fraude convencional se adecuo muñoz ,0
ok_equipo,NORMAL,normal, normal,6
intrusion,Se retiró conexión clandestina se normaliza suministro se normaliza SVPSe cambia tapa y marco trifasico,retiro conexion clandestina normalizo suministro normalizo svpse cambio tapa marco trifasico, se retiro conexion clandestina se normaliza suministro se normaliza svpse cambia tapa y marco trifasico,0
ok_equipo,Si anomalías al momento de la inspección,anomalia momento inspeccion, si anomalias al momento de la inspeccion,6
ok_equipo,Se verificó medidor trifásico con térmica cortada se normalizó sin anomalía se cambió tapa,verifico medidor trifasico con termica cortado normalizo sin anomalia cambio tapa, se verifico medidor trifasico con termica cortada se normalizo sin anomalia se cambio tapa,6
marketing,SE ENCUENTRA MEDIDOR SE REALIZA VERIFICACIÓN COMPLETA MEDIDOR NORMAL SE COLOCA TAPA Y SE SONDEA ACOMETIDA VECINO COMENTA QUE LA TITULAR NUNCA ESTA EN LA VIVIENDATapa DEL habitáculo,encontro medidor realizo verificacion completa medidor normal coloca tapa sondea acometida vecino comenta titular nunca esta viviendatapa habitaculo, se encuentra medidor se realiza verificacion completa medidor normal se coloca tapa y se sondea acometida vecino comenta que la titular nunca esta en la viviendatapa del habitaculo,2
intrusion,"se retiro puente fase a fase en bornera, se realizó verificación completa, se ajustaron conexiones, se cambio tapa, se adjuntan fotos.",retiro puente fase fase bornera realizo verificacion completa ajustaron conexiones cambio tapa adjuntan foto, se retiro puente fase a fase en bornera se realizo verificacion completa se ajustaron conexiones se cambio tapa se adjuntan fotos ,0
reparacion,se verifica medidor trifasico con numeror averiado se cambia medidor tapa y dejando cliente normalizado.,verifico medidor trifasico con numeror averiado cambio medidor tapa dejando cliente normalizado, se verifica medidor trifasico con numeror averiado se cambia medidor tapa y dejando cliente normalizado ,1
reparacion,Sé verificó medidor nro 138492 y se encontro con el mayor error admisible se cambió por el 17450486 y se normalizó,verifico medidor numero encontro con mayor error admisible cambio normalizo, se verifico medidor numero y se encontro con el mayor error admisible se cambio por el y se normalizo,1
seguridad,Prueba con carga propia normal. Arranque y vacío . Normal.Medidor mal fijafo,prueba con carga propia normal arranque vacio normal medidor mal fijafo, prueba con carga propia normal arranque y vacio normal medidor mal fijafo,5
ok_equipo,NORMAL,normal, normal,6
seguridad,Cambio de tapaCerradura rota,cambio tapacerradura rota, cambio de tapacerradura rota,5
seguridad,Cerradura rota,cerradura rota, cerradura rota,5
seguridad,Medidor sin anomaliasMedidor sin anomalías,medidor sin anomalia medidor sin anomalia, medidor sin anomalias medidor sin anomalias,5
seguridad,Se adecuó habitáculo acometida deficiente,adecuo habitaculo acometida deficiente, se adecuo habitaculo acometida deficiente,5
seguridad,Se encontró el medidor Núm 7045125 con una carga de 0.5 amperes Código baremo O111302 O111319 O111322,encontro medidor numero con carga amperes codigo baremo, se encontro el medidor numero con una carga de amperes codigo baremo o o o ,5
intrusion,"Se verifica medidor con  fase a fase tiene 
carga 6.2 y normaliza  se demora por  la custodia",verifico medidor con fase fase tiene carga normalizo demora custodia, se verifica medidor con fase a fase tiene carga y normaliza se demora por la custodia,0
seguridad,Tapa suelta,tapa suelta, tapa suelta,5
ok_equipo,Vivienda al fondo. Se toco timbre se llamo a celular. Cliente ausente. Directo de habitáculo. Volver a pasar.,vivienda fondo toco timbre llamo celular cliente ausente directo habitaculo volver pasar, vivienda al fondo se toco timbre se llamo a celular cliente ausente directo de habitaculo volver a pasar ,6
intrusion,Directo de bornera normalizado,directo bornera normalizado, directo de bornera normalizado,0
ok_equipo,"-ACTxSOT10684-ACTxSOT10982 Verificación completa t1 sin anomalía.
Una sola acometida compartida con 2 medidores linderos.",actxsot actxsot verificacion completa sin anomalia sola acometida compartida con medidor linderos, actxsot actxsot verificacion completa t sin anomalia una sola acometida compartida con medidores linderos ,6
ok_equipo,Se cambio tapa trifasica rota,cambio tapa trifasica rota, se cambio tapa trifasica rota,6
reparacion,"Se realizo inspeccion completa de medidor monofasico,  se cambió medidor monofasico obsoleto y termica de 63a.  No se cambió marco/tapa por falta de stock.",realizo inspeccion completa medidor monofasico cambio medidor monofasico obsoleto termica no cambio marco tapa falta stock, se realizo inspeccion completa de medidor monofasico se cambio medidor monofasico obsoleto y termica de a no se cambio marco tapa por falta de stock ,1
seguridad,"En lugar de referencia se verificó medidor monofásico n 453320, estados 06732-00316, se realizó prueba de funcionamiento, medidor funciona normal con acometida normal se cambió Marco y tapa monofásica rectangular y se dejó normalizado.",lugar referencia verifico medidor monofasico estados realizo prueba funcionamiento medidor funciona normal con acometida normal cambio marco tapa monofasica rectangular dejo normalizado, en lugar de referencia se verifico medidor monofasico n estados se realizo prueba de funcionamiento medidor funciona normal con acometida normal se cambio marco y tapa monofasica rectangular y se dejo normalizado ,5
reparacion,REALIZADA 30/05/2017 - D-17-05-050080,realizada, realizada d ,1
intrusion,FALTA TAPA / CERRADURA ROTA / ACOMETIDA DEFICIENTE,falta tapa cerradura rota acometida deficiente, falta tapa cerradura rota acometida deficiente,0
ok_equipo,Inpeccion monofasica,inspeccion monofasica, inspeccion monofasica,6
ok_equipo,Sé realizó inspección a medidor monofásico normal. Sé cambió tapa de la tarea y tapa lindera.,realizo inspeccion medidor monofasico normal cambio tapa tarea tapa lindera, se realizo inspeccion a medidor monofasico normal se cambio tapa de la tarea y tapa lindera ,6
intrusion,"Verificación de medidor monofásico 
Con cambio de cable concéntrico deterioradoInstalación de tapa y termomacnetica",verificacion medidor monofasico con cambio cable concentrico deterioradoinstalacion tapa termomagnetica, verificacion de medidor monofasico con cambio de cable concentrico deterioradoinstalacion de tapa y termomagnetica,0
seguridad,Se cambió medidor con error admisible. Se coloca tapaSe colocó tapa trifasica,cambio medidor con error admisible coloca tapase coloco tapa trifasica, se cambio medidor con error admisible se coloca tapase coloco tapa trifasica,5
seguridad,"casa vacia normal 
App",casa vacia normal sin determinar, casa vacia normal app,5
intrusion,"O111302 O111306 O111308  O111309 O111319 
Verificación aérea y de error 
Cambio de tapa y térmica
Se normalizó neutro interrumpido
Sin tapa de bornera
Estado medidor 22379Tapa rota",verificacion aerea error cambio tapa termica normalizo neutro interrumpido sin tapa bornera estado medidor tapa rota, o o o o o verificacion aerea y de error cambio de tapa y termica se normalizo neutro interrumpido sin tapa de bornera estado medidor tapa rota,0
ok_equipo,"M. Sin fraude. Dime.
Se realiza verificacion completa. No se encuentran irregularidades. Medidor funciona correctamente. Se instala tapa y marco monofasico.",sin fraude dime realizo verificacion completa no encuentran irregularidades medidor funciona correctamente instala tapa marco monofasico, m sin fraude dime se realiza verificacion completa no se encuentran irregularidades medidor funciona correctamente se instala tapa y marco monofasico ,6
seguridad,Estado 14: 60,estado, estado ,5
intrusion,"Op.mr paso del rey 
Fase a fase",operativo mr paso rey fase fase, operativo mr paso del rey fase a fase,0
ok_equipo,Sin anomalía constatada cambio tapa de habitaculo.,sin anomalia constato cambio tapa habitaculo, sin anomalia constatada cambio tapa de habitaculo ,6
reparacion,AT,cambio medidor, at,1
marketing,Se cambio medidor recategorizado N 41819 por medidor t1 N 17352330 . Se cambio acometida trifasica trifasica no correspondiente q la tarifa. Se colocó térmica 40A y tapa rectangular grande . Se colocó pipeta,cambio medidor recategorizado medidor cambio acometida trifasica trifasica no correspondiente tarifa coloco termica tapa rectangular grande coloco pipeta, se cambio medidor recategorizado n por medidor t n se cambio acometida trifasica trifasica no correspondiente que la tarifa se coloco termica a y tapa rectangular grande se coloco pipeta,2
ok_equipo,se verifico medidor con neutro flojo en la bornera se normalizó se cambio cable de derivación y se cambio caja antihurto y se cambio tapa a medidor lindero nro 17479655 quedo normalizado cerrado y sellado,verifico medidor con neutro flojo bornera normalizo cambio cable derivacion cambio caja antihurto cambio tapa medidor lindero numero quedo normalizado cerrado sellado, se verifico medidor con neutro flojo en la bornera se normalizo se cambio cable de derivacion y se cambio caja antihurto y se cambio tapa a medidor lindero numero quedo normalizado cerrado y sellado,6
ok_equipo,"Se realizó verificacion completa con calculo de error,no se encontraron anomalías ni directos. Se colocó caja anti hurto",realizo verificacion completa con calculo error no encontraron anomalia ni directo coloco caja anti hurto, se realizo verificacion completa con calculo de error no se encontraron anomalias ni directos se coloco caja anti hurto,6
intrusion,Se realiza ramal hasta poste de cruce .Se coloca caja trampa .Se coloca ter 63 y pipeta armableCaja trampa,realizo ramal poste cruce coloca caja trampa coloca termomagnetica pipeta armablecaja trampa, se realiza ramal hasta poste de cruce se coloca caja trampa se coloca termomagnetica y pipeta armablecaja trampa,0
reparacion,Se retiró peligro se cambió medidor monofasico quemado en bornera (cliente quedo con problema interno ),retiro peligro cambio medidor monofasico quemado bornera cliente quedo con problema interno, se retiro peligro se cambio medidor monofasico quemado en bornera cliente quedo con problema interno ,1
intrusion,Se colocó caja antihurto,coloco caja antihurto, se coloco caja antihurto,0
seguridad,Tapa opaca deteriorada,tapa opaca deteriorada, tapa opaca deteriorada,5
ok_equipo,"Verificación normal. 
Encargado manifiesta que no vive nadie en el departamento hace un año aprox",verificacion normal encargado manifiesta no vive nadie departamento hace año aproximado, verificacion normal encargado manifiesta que no vive nadie en el departamento hace un año aproximado,6
seguridad,Se cambió caja plastica,cambio caja plastica, se cambio caja plastica,5
ok_equipo,Carga: 0.0A. Verif t1 aérea normal.  Cambio marco y tapa rect chica termica 63A. Verif funcionamiento y error normal. Est.68139. Se cambio pipeta. Se deja precintado.,carga verifico aerea normal cambio marco tapa rectangular chica termica verifico funcionamiento error normal estado cambio pipeta deja precintado, carga a verifica t aerea normal cambio marco y tapa rectangular chica termica a verifica funcionamiento y error normal estado se cambio pipeta se deja precintado ,6
ok_equipo,Se encontró medidor trifásico número 17214346 estado 4010,encontro medidor trifasico numero estado, se encontro medidor trifasico numero estado ,6
ok_equipo,Se realizó verificación y se cambió tapa rec monofásico x2 y térmica en puntual,realizo verificacion cambio tapa rectangular monofasico termica puntual, se realizo verificacion y se cambio tapa rectangular monofasico por y termica en puntual,6
ok_equipo,normal,normal, normal,6
intrusion,Se verificó medidor con acometida defectuosa y sin tapa de bornera. Se realizó verificación t1 insitu se colocó caja antihurto termica pipeta se cambio acometida con cruce y normaliza cliente con med n°17574252 Moreno-Astudillo,verifico medidor con acometida defectuosa sin tapa bornera realizo verificacion sitio coloco caja antihurto termica pipeta cambio acometida con cruce normalizo cliente con medidor astudillo, se verifico medidor con acometida defectuosa y sin tapa de bornera se realizo verificacion t en sitio se coloco caja antihurto termica pipeta se cambio acometida con cruce y normaliza cliente con medidor n moreno astudillo,0
intrusion,"Durante la verificación se encontró con directo desde línea, se normalizó la anomalia y se instaló caja antihurto, se confecciona acta de comprobación",verificacion encontro con directo desde linea normalizo anomalia instalo caja antihurto confecciona acta comprobacion, durante la verificacion se encontro con directo desde linea se normalizo la anomalia y se instalo caja antihurto se confecciona acta de comprobacion,0
seguridad,Sin medidor y sin acciones de morosidad no se pudo realizar caño de entrada instruido se informó a cliente para reparar el mismo cliente en directo,sin medidor sin morosidad no pudo realizar caño entrada instruido informo cliente reparar mismo cliente directo, sin medidor y sin acciones de morosidad no se pudo realizar caño de entrada instruido se informo a cliente para reparar el mismo cliente en directo,5
intrusion,Se colocó caja antihurto en caja de medidor monofásico existente,coloco caja antihurto caja medidor monofasico existente, se coloco caja antihurto en caja de medidor monofasico existente,0
ok_equipo,Sin anomalia,sin anomalia, sin anomalia,6
ok_equipo,Se encuentra normal.áse cambió tapa y térmica,encontro normal hace cambio tapa termica, se encuentra normal hace cambio tapa y termica,6
seguridad,Tapa toma-tapa habitáculo,tapa toma tapa habitaculo, tapa toma tapa habitaculo,5
ok_equipo,Normal,normal, normal,6
ok_equipo,Normal,normal, normal,6
intrusion,"Obligado 5858
213384565
Directo",obligado directo, obligado directo,0
ok_equipo,Nuevo propietario manifiesta no tener en su poder el medidor,nuevo propietario manifiesta no tener poder medidor, nuevo propietario manifiesta no tener en su poder el medidor,6
seguridad,Adecuación de habitáculo y cambió de tapa,adecuacion habitaculo cambio tapa, adecuacion de habitaculo y cambio de tapa,5
ok_equipo,Se visitó en reiteradas ocasiones sin tener acceso.,visito reiteradas ocasiones sin tener acceso, se visito en reiteradas ocasiones sin tener acceso ,6
ok_equipo,más datos para el ingreso al predio ya que solo contamos con datos de piso y departamento no tenemos dato de torre y el titular es la empresa constructora que realizo el edificio no el nombre de inquilino o propietario,datos ingreso predio ya solo contamos con datos piso departamento no dato torre titular empresa constructora realizo edificio no inquilino propietario, mas datos para el ingreso al predio ya que solo contamos con datos de piso y departamento no tenemos dato de torre y el titular es la empresa constructora que realizo el edificio no el nombre de inquilino o propietario,6
