clase_original,texto_original,texto_etl,texto_corregido,id_clase,nro_palabras
reparacion,cambio medidor obsoleto con funcionamiento normal. se instalo caja antihurto,cambio medidor obsoleto con funcionamiento normal instalo caja antihurto, cambio medidor obsoleto con funcionamiento normal se instalo caja antihurto,1,9
reparacion,"medidor quemado, se cambio por otro mdor.",medidor quemado cambio medidor, medidor quemado se cambio por otro medidor ,1,4
intrusion,se verifico medior con puente de fase a fase. se instalo caja antihurto se cambio de medidor y se confecciono acta.,verifico medidor con puente fase fase instalo caja antihurto cambio medidor confecciono acta, se verifico medidor con puente de fase a fase se instalo caja antihurto se cambio de medidor y se confecciono acta ,0,13
intrusion,"acometida pinchada, se normalizo cambiando acometida e instalando caja antihurto. se confecciono acta por fraude",acometida pinchada normalizo cambiando acometida instalando caja antihurto confecciono acta fraude, acometida pinchada se normalizo cambiando acometida e instalando caja antihurto se confecciono acta por fraude,0,11
no_identificada,se encontro medidor sin tapa bornera se verifico y se cambio por no contar con repuesto,encontro medidor sin tapa bornera verifico cambio no contar con repuesto, se encontro medidor sin tapa bornera se verifico y se cambio por no contar con repuesto,7,11
seguridad,"cambio acometida sin cruce,inst caja antihurto",cambio acometida sin cruce instalacion caja antihurto, cambio acometida sin cruce instalacion caja antihurto,5,7
intrusion,"se retiro cable clandestino, se cambio tapa y se verifico linderos sin novedad en la cuadra se verifica muchos vecinos con conexion clandestina postacion XX mts.",retiro cable clandestina cambio tapa verifico linderos sin novedad cuadra verifico vecino con conexion clandestina postacion metros, se retiro cable clandestino se cambio tapa y se verifico linderos sin novedad en la cuadra se verifica muchos vecinos con conexion clandestina postacion metros ,0,17
intrusion,cables invertidos generaban quiebre de consumo... se normaliza..y se cambio tapa rectangular grande..,cables invertidos generaban quiebre consumo normalizo cambio tapa rectangular grande, cables invertidos generaban quiebre de consumo se normaliza y se cambio tapa rectangular grande ,0,10
reparacion,cbio de medidor con display apagado,cambio medidor con display apagado, cambio de medidor con display apagado,1,5
reparacion,"se procedio a cambiar medidor por obsoleto. se coloco medidor nuevo,tapa y termica.",procedio cambiar medidor obsoleto coloco medidor nuevo tapa termica, se procedio a cambiar medidor por obsoleto se coloco medidor nuevo tapa y termica ,1,9
reparacion,se verifico medidor trifasico nu.XXXXXX con agua por sotano inundado se cambio y se coloco cuño,verifico medidor trifasico nu con agua sotano inundado cambio coloco cuño, se verifico medidor trifasico nu con agua por sotano inundado se cambio y se coloco cuño,1,11
reparacion,se cambia medidor por obsoleto se colocan X cajas antihurto en puntual y vecino numero XXXXXX se ajustan conexiones,cambio medidor obsoleto colocan cajas antihurto puntual vecino numero ajustan conexiones, se cambia medidor por obsoleto se colocan cajas antihurto en puntual y vecino numero se ajustan conexiones,1,11
intrusion,"se verifico conexion directa desde poste de medidor, funciona normalacometida bien, tapa suelta. se cambio tapa de habitaculo se fijo medidor. se corto y se retiro conexion directa con X.Xamp. al momento del retiro.",verifico conexion directo desde poste medidor funciona normalacometida bien tapa suelta cambio tapa habitaculo fijo medidor corto retiro conexion directo con amperes momento retiro, se verifico conexion directa desde poste de medidor funciona normalacometida bien tapa suelta se cambio tapa de habitaculo se fijo medidor se corto y se retiro conexion directa con amperes al momento del retiro ,0,24
reparacion,se verifico medidor activo se observa giro minimo inverso sin carga se cambio medidor y tapa ciega,verifico medidor activo observa giro minimo inverso sin carga cambio medidor tapa ciega, se verifico medidor activo se observa giro minimo inverso sin carga se cambio medidor y tapa ciega,1,13
reparacion,se verifica medidor con mal funcionamiento de arranque. se cambio mono termica y se coloca caja trampa. demoras por mal funcionamiento de telefono uom.,verifico medidor con mal funcionamiento arranque cambio mono termica coloca caja trampa demoras mal funcionamiento telefono , se verifica medidor con mal funcionamiento de arranque se cambio mono termica y se coloca caja trampa demoras por mal funcionamiento de telefono  ,1,17
intrusion,"se corto directo de linea. se normalizo instalacion de cliente. se dejo medidor en uso, se verifico lindero y se cambio tapa",corto directo linea normalizo instalacion cliente dejo medidor uso verifico lindero cambio tapa, se corto directo de linea se normalizo instalacion de cliente se dejo medidor en uso se verifico lindero y se cambio tapa,0,13
intrusion,fraude directo de habitaculo,fraude directo habitaculo, fraude directo de habitaculo,0,3
intrusion,se encontro directo de bornera se normalizo,encontro directo bornera normalizo, se encontro directo de bornera se normalizo,0,4
seguridad,se normalizo suministro se canbio tapa y caja tranpa se canbio cable se coloco pipeta cliente con suministro movil XXX fernandez leg ofi XXXXXX,normalizo suministro cambio tapa caja tranpa cambio cable coloco pipeta cliente con suministro ofi, se normalizo suministro se cambio tapa y caja tranpa se cambio cable se coloco pipeta cliente con suministro movil fernandez leg ofi ,5,14
intrusion,se verifico medidor n XXXXXX se encontro fraude se regularizo instalando caja monoposte y cambio de medidor por averiado,verifico medidor encontro fraude regularizo instalando caja monoposte cambio medidor averiado, se verifico medidor n se encontro fraude se regularizo instalando caja monoposte y cambio de medidor por averiado,0,11
intrusion,se encontro fase a fase en el medidor se normalizo irregularidades se cambio acometida deficiente  legajo XXXXXX  legajo XXXXXX,encontro fase fase medidor normalizo irregularidades cambio acometida deficiente, se encontro fase a fase en el medidor se normalizo irregularidades se cambio acometida deficiente  legajo  legajo ,0,9
intrusion,"se encuentra medidor totalmente desconectado,y la conexion en directo,, se normaliza conexion y coloca caja trampa ,se carga combustible en ypf crovara ,la tablada",encontro medidor totalmente desconectado conexion directo normalizo conexion coloca caja trampa carga combustible ypf crovara tablada, se encuentra medidor totalmente desconectado y la conexion en directo se normaliza conexion y coloca caja trampa se carga combustible en ypf crovara la tablada,0,16
intrusion,medidor con neutro interrumpido normalizado se repuso caja antihurto normalizado,medidor con neutro interrumpido normalizado repuso caja antihurto normalizado, medidor con neutro interrumpido normalizado se repuso caja antihurto normalizado,0,9
intrusion,se realiz insp completa. se verif med s/precinto de carcasa. se lo cambio x med nro XXXXXXXX. se coloco caja antihurto mono recta. se cambio termica unip de XXa. se fijo y se precinto,realizo inspeccion completa verifico medidor precinto carcasa cambio medidor numero coloco caja antihurto mono rectangular cambio termica unipolar fijo precinto, se realizo inspeccion completa se verifica medidor s precinto de carcasa se lo cambio por medidor numero se coloco caja antihurto mono rectangular se cambio termica unipolar de a se fijo y se precinto,0,20
no_identificada,". coloco caja monoposte. realizo control in situ. cambio medidor monofasico, med colocado: XXXXXXXX. cliente normalizado. XXXXX. XXXXX.  no deja subir foto", coloco caja monoposte realizo control interno sitio cambio medidor monofasico medidor colocado cliente normalizado  no deja subir foto,  coloco caja monoposte realizo control interno sitio cambio medidor monofasico medidor colocado cliente normalizado diaz gaston ramirez gaston  no deja subir foto,7,20
seguridad,medidor XXXXXXX estado XXXX.X verif completa tX cambio de tapa cambio de acometida verificacion de funcionamiento y determinacion del error,medidor estado verifico completa cambio tapa cambio acometida verificacion funcionamiento determinacion error, medidor estado verifica completa t cambio de tapa cambio de acometida verificacion de funcionamiento y determinacion del error,5,12
intrusion,"se hizo inspeccion al medidor y se cambio medidor por precinto de carcasa manipulados,se cambio tapa y termica.",hizo inspeccion medidor cambio medidor precinto carcasa manipulados cambio tapa termica, se hizo inspeccion al medidor y se cambio medidor por precinto de carcasa manipulados se cambio tapa y termica ,0,11
intrusion,se hizo verif y determinacion de error se corto directo de linease cambio tapa se limpio habitaculo se precinto se normalizo,hizo verifico determinacion error corto directo linease cambio tapa limpio habitaculo precinto normalizo, se hizo verifica y determinacion de error se corto directo de linease cambio tapa se limpio habitaculo se precinto se normalizo,0,13
market,se coloco medidor.,coloco medidor, se coloco medidor ,2,2
reparacion,se realizo inspeccion completa...se observa integridad de precintos;se comprobo que digitos de medidor no integran(medidor obsoleto) se cambio medidor monofasico numero XXXXXXX estado :XXXXX kwh por medidor XXXXXXXX estado:XXXXX.,realizo inspeccion completa observa integridad precinto comprobo digitos medidor no integran medidor obsoleto cambio medidor monofasico numero estado kwh medidor estado, se realizo inspeccion completa se observa integridad de precintos se comprobo que digitos de medidor no integran medidor obsoleto se cambio medidor monofasico numero estado kwh por medidor estado ,1,21
seguridad,se realizo insp completa y se cambio acometida quemada y termica deteriorada se coloco tapa,realizo inspeccion completa cambio acometida quemada termica deteriorada coloco tapa, se realizo inspeccion completa y se cambio acometida quemada y termica deteriorada se coloco tapa,5,10
intrusion,cambio de medidor monofasico por falta de precinto de carcasa. acta por fraude. medidor instalado XXXXXXXX.,cambio medidor monofasico falta precinto carcasa acta fraude medidor instalado, cambio de medidor monofasico por falta de precinto de carcasa acta por fraude medidor instalado ,0,10
no_identificada,se llamo al cliente se lo espero para el ingreso al barrio monoblos de san pablo,llamo cliente espero ingreso barrio monoblos sin anomalias, se llamo al cliente se lo espero para el ingreso al barrio monoblos de san pablo,7,8
intrusion,se verifico mefidor manipulado con puene hecho de fase por fase y conectado entrada por salida giraba al reves. se reparo ramales cambio ramal termica a medidor. quito puente . cambio tapa monof y una tapa trif.,verifico mefidor manipulado con puene hecho fase fase conectado entrada salida giraba reves reparo ramales cambio ramal termica medidor quito puente cambio tapa monofasico tapa trifasico, se verifico mefidor manipulado con puene hecho de fase por fase y conectado entrada por salida giraba al reves se reparo ramales cambio ramal termica a medidor quito puente cambio tapa monofasico y una tapa trifasico ,0,26
intrusion,"se normalizo cliente cambiando acometida cortada en pipeta en directo y conectando medidor monofasico, se coloco tapa ciega monofasica y no caja antihurto por falta de stock. linderos con fraude, espontaneas ya cargadas.",normalizo cliente cambiando acometida cortado pipeta directo conectando medidor monofasico coloco tapa ciega monofasica no caja antihurto falta stock linderos con fraude espontaneas ya cargadas, se normalizo cliente cambiando acometida cortada en pipeta en directo y conectando medidor monofasico se coloco tapa ciega monofasica y no caja antihurto por falta de stock linderos con fraude espontaneas ya cargadas ,0,25
no_identificada,se cambio medidor y se coloco tapa y llave termica,cambio medidor coloco tapa llave termica, se cambio medidor y se coloco tapa y llave termica,7,6
no_identificada,se cambio med monof y se conecto acometida,cambio medidor monofasico conecto acometida, se cambio medidor monofasico y se conecto acometida,7,5
market,se retiro medidor monofasico fuera de sistema y se normalizo colocando un medidor en el local de verduleria h vivienda.,retiro medidor monofasico fuera sistema normalizo colocando medidor local verduleria vivienda, se retiro medidor monofasico fuera de sistema y se normalizo colocando un medidor en el local de verduleria h vivienda ,2,11
intrusion,se corto directo en linea se cambio tapa,corto directo linea cambio tapa, se corto directo en linea se cambio tapa,0,5
reparacion,mdor con digitos trabados se cambio por otro nuevo mdor,medidor con digitos trabados cambio nuevo medidor, medidor con digitos trabados se cambio por otro nuevo medidor,1,7
intrusion,.retiro directo clandestino. realizo control in situ e inspeccion completa. coloco caja trampa. cliente normalizado. XXXXX. XXXXX.  no deja subir foto, retiro directo clandestina realizo control interno sitio inspeccion completa coloco caja trampa cliente normalizado  no deja subir foto,  retiro directo clandestino realizo control interno sitio e inspeccion completa coloco caja trampa cliente normalizado diaz gaston ramirez gaston  no deja subir foto,0,20
seguridad,anomalia: medidor con poco consumo casa deshabitada se coloco una caja antihurto y se cambio acometida deficiente,anomalia medidor con poco consumo casa deshabitada coloco caja antihurto cambio acometida deficiente, anomalia medidor con poco consumo casa deshabitada se coloco una caja antihurto y se cambio acometida deficiente,5,13
market,se realizo instalacion de medidor trifasico desde caja toma de XX,realizo instalacion medidor trifasico desde caja toma, se realizo instalacion de medidor trifasico desde caja toma de ,2,7
no_identificada,se verifco medidor frenado se ajustaron conexiones en habitaculo se cambio medidor tapa se normalizo cliente,verifico medidor frenado ajustaron conexiones habitaculo cambio medidor tapa normalizo cliente, se verifico medidor frenado se ajustaron conexiones en habitaculo se cambio medidor tapa se normalizo cliente,7,11
no_identificada,cliente con pilar roto lado interno. no se puede realizar ninguna medicion ya que el medidor esta desconectado y el pilar no tiene. acometida.a acometida pasa por afuera llendo a un tablero interno.,cliente con pilar roto lado interno no puede realizar ninguna medicion ya medidor esta desconectado pilar no tiene acometida acometida pasa afuera llendo tablero interno, cliente con pilar roto lado interno no se puede realizar ninguna medicion ya que el medidor esta desconectado y el pilar no tiene acometida a acometida pasa por afuera llendo a un tablero interno ,7,25
intrusion,"se cambio medidor carcaza perforada con elemento ajeno al medidor, alambre. se cambio medidor y se realizo acta.",cambio medidor carcaza perforada con elemento ajeno medidor alambre cambio medidor realizo acta, se cambio medidor carcaza perforada con elemento ajeno al medidor alambre se cambio medidor y se realizo acta ,0,13
reparacion,cambio de medidor con numerador averiado,cambio medidor con numerador averiado, cambio de medidor con numerador averiado,1,5
intrusion,se retiro directo de linea. cuenta inactiva.,retiro directo linea cuenta inactiva, se retiro directo de linea cuenta inactiva ,0,5
intrusion,"se cambiaron morsetos de fase y neutro.se cambio tapa y termica.se retiro puente directo entre la entrada y salida de fase a medidor puntual.se adjuntan fotos,no se genera acta.",cambiaron morcetos fase neutro cambio tapa termica retiro puente directo entrada salida fase medidor puntual adjuntan foto no genera acta, se cambiaron morcetos de fase y neutro se cambio tapa y termica se retiro puente directo entre la entrada y salida de fase a medidor puntual se adjuntan fotos no se genera acta ,0,20
intrusion,se verifico medidor con funcionamiento normal. se cambia acometida pinchada en caño. se cambia tapa monofasica y termica de XXamp.,verifico medidor con funcionamiento normal cambio acometida pinchada caño cambio tapa monofasica termica amperes, se verifico medidor con funcionamiento normal se cambia acometida pinchada en caño se cambia tapa monofasica y termica de amperes ,0,14
no_identificada,se verifico el medidor XXXXXXX se encontraba con el mas funcionamiento del error insitu se normalizo cambiando por medidor XXXXXXXX dejando suministro sin anomalia,verifico medidor encontraba con funcionamiento error sitio normalizo cambiando medidor dejando suministro sin anomalia, se verifico el medidor se encontraba con el mas funcionamiento del error en sitio se normalizo cambiando por medidor dejando suministro sin anomalia,7,14
reparacion,se verifico medidor quemado en bornera. se cambio por medidor numero XXXXXXXX. se cambio tapa se precinto y sello dejando normalizado.,verifico medidor quemado bornera cambio medidor numero cambio tapa precinto sello dejando normalizado, se verifico medidor quemado en bornera se cambio por medidor numero se cambio tapa se precinto y sello dejando normalizado ,1,13
intrusion,"se normaliza medidor monofasico n°XXXXXXXX estado XXXXX con directo de linea retirando dicho directo y haciendo control insitu arrojando un error admisible de X,XX. se labra acta de fraude.",normalizo medidor monofasico estado con directo linea retirando dicho directo haciendo control sitio arrojando error admisible labra acta fraude, se normaliza medidor monofasico n estado con directo de linea retirando dicho directo y haciendo control en sitio arrojando un error admisible de se labra acta de fraude ,0,19
reparacion,se realizo comparacion de carga y se cambio medidor con error mayor admisible.,realizo comparacion carga cambio medidor con error mayor admisible, se realizo comparacion de carga y se cambio medidor con error mayor admisible ,1,9
ok_equipo,casa deshabitada en venta cXXX legajoXXXXXX legajoXXXXXX,casa deshabitada venta, casa deshabitada en venta c legajo legajo ,6,3
reparacion,error mayor eemm: ,error mayor eemm, error mayor eemm ,1,3
intrusion,se cambio medidor monofasico con precintos manipulado. se normalizo el servicio,cambio medidor monofasico con precinto manipulado normalizo servicio, se cambio medidor monofasico con precintos manipulado se normalizo el servicio,0,8
intrusion,"se retiro medidor y ramal trif por fraude express "" puentes de excitacion aislados"" en fases s y t.",retiro medidor ramal trifasico fraude express puentes excitacion aislados fase, se retiro medidor y ramal trifasico por fraude express puentes de excitacion aislados en fases s y t ,0,10
intrusion,"se corto directo en caja de medidor, postacion de XX mtrs y caño pilar podrido, hay que mandar a sacar acometida con grua.",corto directo caja medidor postacion metros caño pilar podrido mandar sacar acometida con hidrogrua, se corto directo en caja de medidor postacion de metros y caño pilar podrido hay que mandar a sacar acometida con grua ,0,14
intrusion,"se encontro conexion manipulada, se normalizo. se cambio tapa y termica",encontro conexion manipulada normalizo cambio tapa termica, se encontro conexion manipulada se normalizo se cambio tapa y termica,0,7
intrusion,se verifico medidor y se encontro conexion manipulada funcionamiento fase por fase se procede a normalizar las irregularidades dejando sin anomalia,verifico medidor encontro conexion manipulada funcionamiento fase fase procede normalizar irregularidades dejando sin anomalia, se verifico medidor y se encontro conexion manipulada funcionamiento fase por fase se procede a normalizar las irregularidades dejando sin anomalia,0,14
reparacion,se encuentra en el lugar medidor n XXXXXXX monofasico cambiado por propiedad quemada.,encontro lugar medidor monofasico cambiado propiedad quemada, se encuentra en el lugar medidor n monofasico cambiado por propiedad quemada ,1,7
intrusion,se cambio medidor monofasico se coloca tapa y termica se realiza acta por fraude,cambio medidor monofasico coloca tapa termica realizo acta fraude, se cambio medidor monofasico se coloca tapa y termica se realiza acta por fraude,0,9
reparacion,se cambio medidor monofasico por tener bornera quemada.,cambio medidor monofasico tener bornera quemada, se cambio medidor monofasico por tener bornera quemada ,1,6
reparacion,se cambio medidor por estar desprogramado. oficina,cambio medidor desprogramado oficina, se cambio medidor por estar desprogramado oficina,1,4
intrusion,se verifico med monof con puente directo entre la entrada y la salida de fase de born (fase x fase) se normaliza se cambia tapa se realiza acta x fraude,verifico medidor monofasico con puente directo entrada salida fase born fase fase normalizo cambio tapa realizo acta fraude, se verifico medidor monofasico con puente directo entre la entrada y la salida de fase de born fase por fase se normaliza se cambia tapa se realiza acta por fraude,0,18
intrusion,se verifico medidor sin precinto en tapa de bornera y se ve a simple vista precinto de mascarilla manipulado. se realizo contraste dando un error mayor al admisible. se cambio medidor por defectuoso y tapa. acta con policia,verifico medidor sin precinto tapa bornera sin determinar simple vista precinto mascarilla manipulado realizo contraste dando error mayor admisible cambio medidor defectuoso tapa acta con policia, se verifico medidor sin precinto en tapa de bornera y se ve a simple vista precinto de mascarilla manipulado se realizo contraste dando un error mayor al admisible se cambio medidor por defectuoso y tapa acta con policia,0,26
intrusion,se verifico una conexion directa en el habitaculo entre la entrada y la salida de fase en bornera de normalizo cambio tapa y termica dejo normal,verifico conexion directo habitaculo entrada salida fase bornera normalizo cambio tapa termica dejo normal, se verifico una conexion directa en el habitaculo entre la entrada y la salida de fase en bornera de normalizo cambio tapa y termica dejo normal,0,14
reparacion,se cambio medidor numero XXX XXXXX por medidor numero XXX XXXX por error a mayor al admisible .se adecuo.,cambio medidor numero medidor numero error mayor admisible adecuo, se cambio medidor numero por medidor numero por error a mayor al admisible se adecuo ,1,9
reparacion,Se Cambió Medidor Monof Quemado,cambio medidor monofasico quemado, se cambio medidor monofasico quemado,1,4
reparacion,"se verifico termica quemada, y medidor con fallas mecanicas, se repuso se cambio medidor y se instalo caja antihurto",verifico termica quemada medidor con fallas mecanicas repuso cambio medidor instalo caja antihurto, se verifico termica quemada y medidor con fallas mecanicas se repuso se cambio medidor y se instalo caja antihurto,1,13
reparacion,se encontro medidor con bobina quemada se cambio med trifasico se cambio tapa ciega se normaliza,encontro medidor con bobina quemada cambio medidor trifasico cambio tapa ciega normalizo, se encontro medidor con bobina quemada se cambio medidor trifasico se cambio tapa ciega se normaliza,1,12
reparacion,"se verifico med mono obsoleto n°XXXXXXX estado con acometida pinchada. se normaliza retirando dicho directo, cambiando acometida, medidor, caja antihurto, termica y derivado med a med. control insitu X,XX%. se labra acta.",verifico medidor mono obsoleto estado con acometida pinchada normalizo retirando dicho directo cambiando acometida medidor caja antihurto termica derivado medidor medidor control sitio labra acta, se verifico medidor mono obsoleto n estado con acometida pinchada se normaliza retirando dicho directo cambiando acometida medidor caja antihurto termica y derivado medidor a medidor control en sitio se labra acta ,1,25
seguridad,verificacion completa cambio de caja antihurto,verificacion completa cambio caja antihurto, verificacion completa cambio de caja antihurto,5,5
reparacion,cambio de medidor monofasico por bornera quemada. cliente queda normalizado.,cambio medidor monofasico bornera quemada cliente queda normalizado, cambio de medidor monofasico por bornera quemada cliente queda normalizado ,1,8
intrusion,energia activa: XXXXX se corto clandestino directo en red aerea se realizo verificacion completa se cambio caja monoposte se cambio acometida empalmada en monoposte,energia activa corto clandestina directo red aerea realizo verificacion completa cambio caja monoposte cambio acometida empalmada monoposte, energia activa se corto clandestino directo en red aerea se realizo verificacion completa se cambio caja monoposte se cambio acometida empalmada en monoposte,0,17
intrusion,puente fase a fase performado el interior de la bornera,puente fase fase performado interior bornera, puente fase a fase performado el interior de la bornera,0,6
intrusion,se cambia medidor por falta de tornillo en pte de excitacion,cambio medidor falta tornillo pte excitacion, se cambia medidor por falta de tornillo en pte de excitacion,0,6
reparacion,se retiro peligro de medidor quemado. se cambio medidor quemado. y se cambio tapa y termica. tension XXX v,retiro peligro medidor quemado cambio medidor quemado cambio tapa termica tension, se retiro peligro de medidor quemado se cambio medidor quemado y se cambio tapa y termica tension v,1,11
intrusion,se verifico acometida pinchada para alimentar local de lubricentro.,verifico acometida pinchada alimentar local lubricentro, se verifico acometida pinchada para alimentar local de lubricentro ,0,6
seguridad,verificacion de  oXXXXXX oXXXXXX oXXXXXX se instalo caja trampa i termica de XX i se coloco X metro de cable de X i medio,verificacion  instalo caja trampa termica coloco metro cable medio, verificacion de  o o o se instalo caja trampa i termica de i se coloco metro de cable de i medio,5,10
reparacion,se cambio medidor quemado se coloca caja antihurto y termica se retira coneccion clandestina de linea por medisor quemado se deja con suministro normal,cambio medidor quemado coloca caja antihurto termica retira conexion clandestina linea medidor quemado deja con suministro normal, se cambio medidor quemado se coloca caja antihurto y termica se retira conexion clandestina de linea por medidor quemado se deja con suministro normal,1,17
seguridad,se cambio ramal quemado se coloco tapa,cambio ramal quemado coloco tapa, se cambio ramal quemado se coloco tapa,5,5
intrusion,se reemplazo medidor sin precintos de carcasa.,reemplazo medidor sin precinto carcasa, se reemplazo medidor sin precintos de carcasa ,0,5
reparacion,se verifico medidor monof y se cambio por bornera quemada. y se realizo cambio de cableado monofasico entre toma y medidor y de medidor a tablero por cables quemados. fotos,verifico medidor monofasico cambio bornera quemada realizo cambio cableado monofasico toma medidor medidor tablero cables quemados foto, se verifico medidor monofasico y se cambio por bornera quemada y se realizo cambio de cableado monofasico entre toma y medidor y de medidor a tablero por cables quemados fotos,1,17
intrusion,se verifico medidor trifacica se camvio consentrico pinchado se normaliza suministro con camvio de tapa y temomacnetica cuadrilla ,verifico medidor trifacica cambio concentrico pinchado normalizo suministro con cambio tapa temomacnetica, se verifico medidor trifacica se cambio concentrico pinchado se normaliza suministro con cambio de tapa y temomacnetica  ,0,12
intrusion,se verifo una conexion directa en el habitaculo entre la entrada y la salida de fase en bornera se normalizo cambio caja antihurto dejo normal,verifico conexion directo habitaculo entrada salida fase bornera normalizo cambio caja antihurto dejo normal, se verifico una conexion directa en el habitaculo entre la entrada y la salida de fase en bornera se normalizo cambio caja antihurto dejo normal,0,14
intrusion,directo se normalizo servicio,directo normalizo servicio, directo se normalizo servicio,0,3
intrusion,se retiro clandestino. se coloco caja antihurto. se cambio ramal. se cambio termica monofasica.se coloca caño. se pide espontanea por cambio de medidor y acta por fraude.,retiro clandestina coloco caja antihurto cambio ramal cambio termica monofasica coloca caño pide espontanea cambio medidor acta fraude, se retiro clandestino se coloco caja antihurto se cambio ramal se cambio termica monofasica se coloca caño se pide espontanea por cambio de medidor y acta por fraude ,0,18
reparacion,se verifico medidor con disco trabado se normalizo suministro cambiando medidor monofasico digital XXXXXXXX,verifico medidor con disco trabado normalizo suministro cambiando medidor monofasico digital, se verifico medidor con disco trabado se normalizo suministro cambiando medidor monofasico digital ,1,11
no_identificada,se dejo normalizado,dejo normalizado, se dejo normalizado,7,2
intrusion,"se realizo verif completa, verif im situ; medidor sin anomalias. se sondeo y se encontro fraude ""derivacion clandestina en caño"". se realizo acta, se coloco ramal monof con cruce, caja antihurto y termica",realizo verifico completa verifico im sitio medidor sin anomalia sondeo encontro fraude derivacion clandestina caño realizo acta coloco ramal monofasico con cruce caja antihurto termica, se realizo verifica completa verifica im sitio medidor sin anomalias se sondeo y se encontro fraude derivacion clandestina en caño se realizo acta se coloco ramal monofasico con cruce caja antihurto y termica,0,25
reparacion,"se arribo al puntual y se encontro medidor monofasico quemado en bornera, se coloco medidor monofasico",arribo puntual encontro medidor monofasico quemado bornera coloco medidor monofasico, se arribo al puntual y se encontro medidor monofasico quemado en bornera se coloco medidor monofasico,1,10
market,foto de fraude en rh.,foto fraude rehabilitado, foto de fraude en rehabilitado ,2,3
intrusion,espontanea generada para correcto cierre de la tarea a_XXXXXXXXXX - X la misma es tipo c_d_verifp con medidor convencional. se realizo inspeccion y normalizo conexion clandestina.,espontanea generada correcto cierre tarea misma tipo verifp con medidor convencional realizo inspeccion normalizo conexion clandestina, espontanea generada para correcto cierre de la tarea a la misma es tipo c d verifp con medidor convencional se realizo inspeccion y normalizo conexion clandestina ,0,16
reparacion,"se cambio medidor quemado, relacionado a rh.",cambio medidor quemado relacionado rehabilitado, se cambio medidor quemado relacionado a rehabilitado ,1,5
intrusion,"se retiro conexion directa, se verifico medidor y acometida con neutro interrumpido. se normalizo instalacion, se cambio tapa y termica.",retiro conexion directo verifico medidor acometida con neutro interrumpido normalizo instalacion cambio tapa termica, se retiro conexion directa se verifico medidor y acometida con neutro interrumpido se normalizo instalacion se cambio tapa y termica ,0,14
intrusion,se retiro conexion clandestina de habitaculo sellamos.se coloco caja antihurto,retiro conexion clandestina habitaculo sellamos coloco caja antihurto, se retiro conexion clandestina de habitaculo sellamos se coloco caja antihurto,0,8
intrusion,se encontro conexion clandestino en abitaculo se cambia medidor roto se coloca tapa ciega se normalisa,encontro conexion clandestina habitaculo cambio medidor roto coloca tapa ciega normalizo, se encontro conexion clandestino en habitaculo se cambia medidor roto se coloca tapa ciega se normaliza,0,11
intrusion,"movil:XXX nombre:  accion: verificacion completa de medidor convencional, con calculo de error porcentual, se retiro conexion clandestina, se normalizo suministro. operativo: la amistad. legajo ayudante: XXXXX",accion verificacion completa medidor convencional con calculo error porcentual retiro conexion clandestina normalizo suministro operativo amistad, movil nombre  accion verificacion completa de medidor convencional con calculo de error porcentual se retiro conexion clandestina se normalizo suministro operativo la amistad legajo ayudante ,0,16
intrusion,precintos de carcasa violados,precinto carcasa violados, precintos de carcasa violados,0,3
intrusion,"se encontro derivacion cland dentro de acometida, se cambio acometida con cable X+X, se coloco tapa rect monof , se coloco termica",encontro derivacion cland dentro acometida cambio acometida con cable coloco tapa rectangular monofasico coloco termica, se encontro derivacion cland dentro de acometida se cambio acometida con cable se coloco tapa rectangular monofasico se coloco termica,0,15
seguridad,se reviso medidor e instala con sin irregularidades.se cambio ramal deteriorado tapa y termica se dejo normalizado,reviso medidor instala con sin irregularidades cambio ramal deteriorado tapa termica dejo normalizado, se reviso medidor e instala con sin irregularidades se cambio ramal deteriorado tapa y termica se dejo normalizado,5,13
reparacion,se verifico medidor con acometida defectuosa y error mayor al admisible se cambio acometida medidor se coloco antihurto cambio termica y normaliza cliente. moreno-orellana,verifico medidor con acometida defectuosa error mayor admisible cambio acometida medidor coloco antihurto cambio termica normalizo cliente orellana, se verifico medidor con acometida defectuosa y error mayor al admisible se cambio acometida medidor se coloco antihurto cambio termica y normaliza cliente moreno orellana,1,18
intrusion,se verifica que el medidor XXXXXXX estado XXXXX-XXXXX tenia puente clandestino se retira puente clandestino quedando normalizado el suministro,verifico medidor estado puente clandestina retira puente clandestina quedando normalizado suministro, se verifica que el medidor estado tenia puente clandestino se retira puente clandestino quedando normalizado el suministro,0,11
reparacion,"se cambio medidor obsoleto, se instalo medidor n°XXXXXXXX. neutro y conexionado normal. se cambio tapa. se sondeo ramal.",cambio medidor obsoleto instalo medidor neutro conexionado normal cambio tapa sondeo ramal, se cambio medidor obsoleto se instalo medidor n neutro y conexionado normal se cambio tapa se sondeo ramal ,1,12
intrusion,operativo centro se verifico medidor con fraude se corto fase a fase y se normaliso se cambio medidor por falta de presintos de carcasa originales,operativo centro verifico medidor con fraude corto fase fase normalizo cambio medidor falta precinto carcasa originales, operativo centro se verifico medidor con fraude se corto fase a fase y se normalizo se cambio medidor por falta de precintos de carcasa originales,0,16
intrusion,directo . medidor convencional XXXXXXX . cobo XXXX,directo medidor convencional cobo, directo medidor convencional cobo ,0,4
